KO	FunkFam	CS	Pathway	Description	KODescription	KOCount	FunkFamCount
K02093	5_58197	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	206
K02093	5_58197	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	206
K02094	5_58197	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	206
K02094	5_58197	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	206
K02095	5_58197	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	206
K02095	5_58197	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	206
K02096	5_58197	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	206
K02096	5_58197	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	206
K02097	5_58197	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	206
K02097	5_58197	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	206
K02284	5_58197	Low	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	206
K02284	5_58197	Low	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	206
K02286	5_58197	Low	map00196	Photosynthesis - antenna proteins	cpcC; phycocyanin-associated rod linker protein	337	206
K02286	5_58197	Low	map01100	Metabolic pathways	cpcC; phycocyanin-associated rod linker protein	337	206
K02290	5_58197	Low	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	206
K02290	5_58197	Low	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	206
K02629	5_58197	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	206
K02629	5_58197	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	206
K02630	5_58197	High	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	206
K02630	5_58197	High	map01100	Metabolic pathways	pecC; phycoerythrocyanin-associated rod linker protein	309	206
K02720	5_58197	High	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	206
K05378	5_58197	Low	map00196	Photosynthesis - antenna proteins	cpeC, mpeC; phycoerythrin-associated linker protein	344	206
K05378	5_58197	Low	map01100	Metabolic pathways	cpeC, mpeC; phycoerythrin-associated linker protein	344	206
K11525	5_59240	Low	map02020	Two-component system	pixJ; methyl-accepting chemotaxis protein PixJ	213	263
K02720	5_59528	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	171
K09834	5_59528	High	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	171
K09834	5_59528	High	map01100	Metabolic pathways	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	171
K09834	5_59528	High	map01110	Biosynthesis of secondary metabolites	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	171
K02092	5_64823	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	330
K02092	5_64823	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	330
K02093	5_64823	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	330
K02093	5_64823	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	330
K02095	5_64823	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	330
K02095	5_64823	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	330
K02096	5_64823	Low	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	330
K02096	5_64823	Low	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	330
K02097	5_64823	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	330
K02097	5_64823	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	330
K02284	5_64823	High	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	330
K02284	5_64823	High	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	330
K02286	5_64823	Low	map00196	Photosynthesis - antenna proteins	cpcC; phycocyanin-associated rod linker protein	337	330
K02286	5_64823	Low	map01100	Metabolic pathways	cpcC; phycocyanin-associated rod linker protein	337	330
K02628	5_64823	High	map00196	Photosynthesis - antenna proteins	pecA; phycoerythrocyanin alpha chain	332	330
K02628	5_64823	High	map01100	Metabolic pathways	pecA; phycoerythrocyanin alpha chain	332	330
K02629	5_64823	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	330
K02629	5_64823	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	330
K02630	5_64823	Low	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	330
K02630	5_64823	Low	map01100	Metabolic pathways	pecC; phycoerythrocyanin-associated rod linker protein	309	330
K02693	5_64823	Low	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	330
K02693	5_64823	Low	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	330
K02707	5_64823	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	330
K02707	5_64823	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	330
K02708	5_64823	Low	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	330
K02708	5_64823	Low	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	330
K02713	5_64823	High	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	330
K02720	5_64823	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	330
K02722	5_64823	Low	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	330
K05378	5_64823	Low	map00196	Photosynthesis - antenna proteins	cpeC, mpeC; phycoerythrin-associated linker protein	344	330
K05378	5_64823	Low	map01100	Metabolic pathways	cpeC, mpeC; phycoerythrin-associated linker protein	344	330
K08903	5_64823	Low	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	330
K11522	5_67931	Low	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	200
K02720	5_67961	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	188
K14028	5_69986	Low	map00010	Glycolysis / Gluconeogenesis	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K14028	5_69986	Low	map00625	Chloroalkane and chloroalkene degradation	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K14028	5_69986	Low	map00680	Methane metabolism	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K14028	5_69986	Low	map01100	Metabolic pathways	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K14028	5_69986	Low	map01110	Biosynthesis of secondary metabolites	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K14028	5_69986	Low	map01120	Microbial metabolism in diverse environments	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K14028	5_69986	Low	map01130	Biosynthesis of antibiotics	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K14028	5_69986	Low	map01200	Carbon metabolism	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	1033	477
K16254	5_69986	Low	map00680	Methane metabolism	mxaJ; mxaJ protein	947	477
K16254	5_69986	Low	map01120	Microbial metabolism in diverse environments	mxaJ; mxaJ protein	947	477
K02689	5_71388	Low	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	399
K02689	5_71388	Low	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	399
K02690	5_71388	Low	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	399
K02690	5_71388	Low	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	399
K02691	5_71388	Low	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	399
K02691	5_71388	Low	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	399
K02696	5_71388	Low	map00195	Photosynthesis	psaI; photosystem I subunit VIII	305	399
K02697	5_71388	Low	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	399
K02705	5_71388	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	399
K02705	5_71388	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	399
K02706	5_71388	Low	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	399
K02706	5_71388	Low	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	399
K02707	5_71388	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	399
K02707	5_71388	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	399
K02708	5_71388	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	399
K02708	5_71388	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	399
K02716	5_71388	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	399
K02717	5_71388	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	399
K02722	5_71388	Low	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	399
K02723	5_71388	High	map00195	Photosynthesis	psbY; photosystem II PsbY protein	332	399
K05584	5_71388	Low	map00190	Oxidative phosphorylation	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	399
K05584	5_71388	Low	map01100	Metabolic pathways	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	399
K05585	5_71388	Low	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	399
K05585	5_71388	Low	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	399
K08903	5_71388	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	399
K15408	5_71508	Low	map00190	Oxidative phosphorylation	coxAC; cytochrome c oxidase subunit I+III [EC:1.9.3.1]	1575	441
K15408	5_71508	Low	map01100	Metabolic pathways	coxAC; cytochrome c oxidase subunit I+III [EC:1.9.3.1]	1575	441
K02092	5_71981	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	313
K02092	5_71981	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	313
K02093	5_71981	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	313
K02093	5_71981	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	313
K02094	5_71981	Low	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	313
K02094	5_71981	Low	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	313
K02095	5_71981	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	313
K02095	5_71981	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	313
K02097	5_71981	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	313
K02097	5_71981	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	313
K02284	5_71981	High	map00196	Photosynthesis - antenna proteins	cpcA; phycocyanin alpha chain	343	313
K02284	5_71981	High	map01100	Metabolic pathways	cpcA; phycocyanin alpha chain	343	313
K02289	5_71981	Low	map00196	Photosynthesis - antenna proteins	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	313
K02289	5_71981	Low	map01100	Metabolic pathways	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	313
K02290	5_71981	High	map00196	Photosynthesis - antenna proteins	cpcG; phycobilisome rod-core linker protein	332	313
K02290	5_71981	High	map01100	Metabolic pathways	cpcG; phycobilisome rod-core linker protein	332	313
K02629	5_71981	High	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	313
K02629	5_71981	High	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	313
K02643	5_71981	Low	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	313
K02643	5_71981	Low	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	313
K02692	5_71981	High	map00195	Photosynthesis	psaD; photosystem I subunit II	401	313
K02692	5_71981	High	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	313
K02707	5_71981	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	313
K02707	5_71981	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	313
K02708	5_71981	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	313
K02708	5_71981	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	313
K02713	5_71981	Low	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	313
K02719	5_71981	Low	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	313
K02720	5_71981	High	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	313
K08902	5_71981	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	313
K08903	5_71981	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	313
K02285	5_72814	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	180
K02285	5_72814	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	180
K02628	5_72814	Low	map00196	Photosynthesis - antenna proteins	pecA; phycoerythrocyanin alpha chain	332	180
K02628	5_72814	Low	map01100	Metabolic pathways	pecA; phycoerythrocyanin alpha chain	332	180
K02693	5_72814	Low	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	180
K02693	5_72814	Low	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	180
K02698	5_72814	Low	map00195	Photosynthesis	psaK; photosystem I subunit X	402	180
K02704	5_72814	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	180
K02704	5_72814	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	180
K02707	5_72814	Low	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	180
K02707	5_72814	Low	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	180
K02716	5_72814	Low	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	180
K05369	5_72814	High	map00860	Porphyrin and chlorophyll metabolism	pebA; 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]	208	180
K05369	5_72814	High	map01110	Biosynthesis of secondary metabolites	pebA; 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]	208	180
K05370	5_72814	High	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	180
K05370	5_72814	High	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	180
K05376	5_72814	High	map00196	Photosynthesis - antenna proteins	cpeA, mpeA; phycoerythrin alpha chain	170	180
K05376	5_72814	High	map01100	Metabolic pathways	cpeA, mpeA; phycoerythrin alpha chain	170	180
K05377	5_72814	High	map00196	Photosynthesis - antenna proteins	cpeB, mpeB; phycoerythrin beta chain	208	180
K05377	5_72814	High	map01100	Metabolic pathways	cpeB, mpeB; phycoerythrin beta chain	208	180
K05381	5_72814	High	map00196	Photosynthesis - antenna proteins	cpeR; phycoerythrin-associated linker protein	134	180
K05381	5_72814	High	map01100	Metabolic pathways	cpeR; phycoerythrin-associated linker protein	134	180
K05382	5_72814	Low	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	180
K05382	5_72814	Low	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	180
K05384	5_72814	High	map00196	Photosynthesis - antenna proteins	cpeU, mpeU; bilin biosynthesis protein	154	180
K05384	5_72814	High	map01100	Metabolic pathways	cpeU, mpeU; bilin biosynthesis protein	154	180
K05385	5_72814	High	map00196	Photosynthesis - antenna proteins	cpeY; bilin biosynthesis protein	160	180
K05385	5_72814	High	map01100	Metabolic pathways	cpeY; bilin biosynthesis protein	160	180
K05386	5_72814	High	map00196	Photosynthesis - antenna proteins	cpeZ; bilin biosynthesis protein	156	180
K05386	5_72814	High	map01100	Metabolic pathways	cpeZ; bilin biosynthesis protein	156	180
K08101	5_72814	Low	map00860	Porphyrin and chlorophyll metabolism	HY2; phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]	88	180
K08101	5_72814	Low	map01110	Biosynthesis of secondary metabolites	HY2; phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]	88	180
K05602	5_72828	Low	map00340	Histidine metabolism	hisN; histidinol-phosphatase [EC:3.1.3.15]	4983	968
K05602	5_72828	Low	map01100	Metabolic pathways	hisN; histidinol-phosphatase [EC:3.1.3.15]	4983	968
K05602	5_72828	Low	map01110	Biosynthesis of secondary metabolites	hisN; histidinol-phosphatase [EC:3.1.3.15]	4983	968
K05602	5_72828	Low	map01230	Biosynthesis of amino acids	hisN; histidinol-phosphatase [EC:3.1.3.15]	4983	968
K07695	5_72828	Low	map02020	Two-component system	devR; two-component system, NarL family, response regulator DevR	6463	968
K07768	5_72828	Low	map02020	Two-component system	senX3; two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]	4057	968
K08372	5_72828	Low	map02020	Two-component system	pepD; putative serine protease PepD [EC:3.4.21.-]	5937	968
K11263	5_72828	Low	map00061	Fatty acid biosynthesis	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map00280	Valine, leucine and isoleucine degradation	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map00620	Pyruvate metabolism	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map00630	Glyoxylate and dicarboxylate metabolism	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map00640	Propanoate metabolism	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map01100	Metabolic pathways	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map01110	Biosynthesis of secondary metabolites	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map01120	Microbial metabolism in diverse environments	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map01130	Biosynthesis of antibiotics	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map01200	Carbon metabolism	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K11263	5_72828	Low	map01212	Fatty acid metabolism	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]	4890	968
K13787	5_72828	Low	map00900	Terpenoid backbone biosynthesis	idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	5608	968
K13787	5_72828	Low	map01100	Metabolic pathways	idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	5608	968
K13787	5_72828	Low	map01110	Biosynthesis of secondary metabolites	idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	5608	968
K13787	5_72828	Low	map01130	Biosynthesis of antibiotics	idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	5608	968
K16148	5_72828	Low	map00500	Starch and sucrose metabolism	glgM; alpha-maltose-1-phosphate synthase [EC:2.4.1.342]	6528	968
K16148	5_72828	Low	map01100	Metabolic pathways	glgM; alpha-maltose-1-phosphate synthase [EC:2.4.1.342]	6528	968
K19710	5_72828	Low	map00230	Purine metabolism	E2.7.7.53; ATP adenylyltransferase [EC:2.7.7.53]	6223	968
K19710	5_72828	Low	map01100	Metabolic pathways	E2.7.7.53; ATP adenylyltransferase [EC:2.7.7.53]	6223	968
K11522	5_74677	Low	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	170
K02285	5_75110	Low	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	157
K02285	5_75110	Low	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	157
K03408	5_76819	Low	map02020	Two-component system	cheW; purine-binding chemotaxis protein CheW	10727	1090
K03408	5_76819	Low	map02030	Bacterial chemotaxis	cheW; purine-binding chemotaxis protein CheW	10727	1090
K02586	5_79535	Low	map00625	Chloroalkane and chloroalkene degradation	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	383
K02586	5_79535	Low	map00910	Nitrogen metabolism	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	383
K02586	5_79535	Low	map01100	Metabolic pathways	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	383
K02586	5_79535	Low	map01120	Microbial metabolism in diverse environments	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	383
K02591	5_79535	Low	map00625	Chloroalkane and chloroalkene degradation	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	383
K02591	5_79535	Low	map00910	Nitrogen metabolism	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	383
K02591	5_79535	Low	map01100	Metabolic pathways	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	383
K02591	5_79535	Low	map01120	Microbial metabolism in diverse environments	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	383
K21011	5_79583	High	map02025	Biofilm formation - Pseudomonas aeruginosa	pelF; polysaccharide biosynthesis protein PelF	1712	427
K21012	5_79583	Low	map02025	Biofilm formation - Pseudomonas aeruginosa	pelG; polysaccharide biosynthesis protein PelG	1170	427
K16256	5_81067	Very high	map00680	Methane metabolism	mxaA; mxaA protein	375	314
K16256	5_81067	Very high	map01120	Microbial metabolism in diverse environments	mxaA; mxaA protein	375	314
K16257	5_81067	High	map00680	Methane metabolism	mxaC; mxaC protein	390	314
K16257	5_81067	High	map01120	Microbial metabolism in diverse environments	mxaC; mxaC protein	390	314
K16258	5_81067	High	map00680	Methane metabolism	mxaK; mxaK protein	374	314
K16258	5_81067	High	map01120	Microbial metabolism in diverse environments	mxaK; mxaK protein	374	314
K16259	5_81067	High	map00680	Methane metabolism	mxaL; mxaL protein	390	314
K16259	5_81067	High	map01120	Microbial metabolism in diverse environments	mxaL; mxaL protein	390	314
K02093	5_81394	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	252
K02093	5_81394	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	252
K02097	5_81394	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	252
K02097	5_81394	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	252
K02287	5_81394	High	map00196	Photosynthesis - antenna proteins	cpcD; phycocyanin-associated, rod	251	252
K02287	5_81394	High	map01100	Metabolic pathways	cpcD; phycocyanin-associated, rod	251	252
K02720	5_81394	Low	map00195	Photosynthesis	psbV; photosystem II cytochrome c550	347	252
K09834	5_81394	Low	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	252
K09834	5_81394	Low	map01100	Metabolic pathways	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	252
K09834	5_81394	Low	map01110	Biosynthesis of secondary metabolites	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	252
K11522	5_81394	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	252
K11524	5_81394	High	map02020	Two-component system	pixI; positive phototaxis protein PixI	209	252
K11525	5_81394	High	map02020	Two-component system	pixJ; methyl-accepting chemotaxis protein PixJ	213	252
K14029	5_81833	High	map00010	Glycolysis / Gluconeogenesis	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K14029	5_81833	High	map00625	Chloroalkane and chloroalkene degradation	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K14029	5_81833	High	map00680	Methane metabolism	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K14029	5_81833	High	map01100	Metabolic pathways	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K14029	5_81833	High	map01110	Biosynthesis of secondary metabolites	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K14029	5_81833	High	map01120	Microbial metabolism in diverse environments	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K14029	5_81833	High	map01130	Biosynthesis of antibiotics	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K14029	5_81833	High	map01200	Carbon metabolism	mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	235	133
K13585	5_82031	High	map04112	Cell cycle - Caulobacter	hfaA; holdfast attachment protein HfaA	121	187
K02094	5_83305	Low	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	360
K02094	5_83305	Low	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	360
K02095	5_83305	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	360
K02095	5_83305	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	360
K02285	5_83305	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	360
K02285	5_83305	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	360
K02630	5_83305	Low	map00196	Photosynthesis - antenna proteins	pecC; phycoerythrocyanin-associated rod linker protein	309	360
